frame,time,handle_visible,visibility,visible_side,occlusion_reason,handle_shape_visible,handle_body_relation,hand_contact_visible,hand_contact_part,handle_contact,body_contact,rim_contact,hand_occludes_handle,body_self_occludes_handle,yaw_anchor_quality,recommended_visibility_constraint,confidence,short_reason
1,0.000000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
6,0.208333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
11,0.416667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
16,0.625000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle of the mug, with the handle fully visible and not occluded."
21,0.833333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
26,1.041667,True,visible,left,none,partial_arc,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasping the left-side handle of the mug, with handle partially visible and not occluded."
31,1.250000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
36,1.458333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
41,1.666667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
46,1.875000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
51,2.083333,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, with hand gripping it."
56,2.291667,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, with hand gripping it."
61,2.500000,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, hand is gripping the handle loop."
66,2.708333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body, hand is on mug body, not handle."
71,2.916667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
76,3.125000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
81,3.333333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand is on mug body, not handle."
86,3.541667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body, hand is on mug body, not handle."
91,3.750000,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, with hand gripping it."
96,3.958333,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, hand is gripping the handle loop."
