case,loss_family,ablation_flag,result_name,pose_artifact_count,ready_for_metric_table,disabled_factor_absent,pose_paths,factor_ledger
basketball,metric_depth,disable_metric_depth,paper_loss_no_metric_depth,1,True,True,samples_known_object/01_basketball/results/paper_loss_no_metric_depth/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/01_basketball/results/paper_loss_no_metric_depth/generic_stage4_candidate/factor_ledger.json
mug,metric_depth,disable_metric_depth,paper_loss_no_metric_depth,1,True,True,samples_known_object/02_mug/results/paper_loss_no_metric_depth/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/paper_loss_no_metric_depth/generic_stage4_candidate/factor_ledger.json
mug,contact_distance,disable_contact_distance,paper_loss_no_contact_distance,1,True,True,samples_known_object/02_mug/results/paper_loss_no_contact_distance/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/paper_loss_no_contact_distance/generic_stage4_candidate/factor_ledger.json
mug,contact_relative_velocity,disable_contact_relative_velocity,paper_loss_no_contact_relative_velocity,1,True,True,samples_known_object/02_mug/results/paper_loss_no_contact_relative_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/paper_loss_no_contact_relative_velocity/generic_stage4_candidate/factor_ledger.json
mug,support_penetration,disable_support_penetration,paper_loss_no_support_penetration,1,True,True,samples_known_object/02_mug/results/paper_loss_no_support_penetration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/paper_loss_no_support_penetration/generic_stage4_candidate/factor_ledger.json
mug,temporal_acceleration,disable_temporal_acceleration,paper_loss_no_temporal_acceleration,1,True,True,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/factor_ledger.json
stick,visual_geometry,disable_visual_geometry,paper_loss_no_visual_geometry,1,True,True,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/generic_stage4_candidate/factor_ledger.json
stick,temporal_velocity,disable_temporal_velocity,paper_loss_no_temporal_velocity,1,True,True,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/generic_stage4_candidate/factor_ledger.json
chair,visual_geometry,disable_visual_geometry,paper_loss_no_visual_geometry,0,False,False,,
chair,support_penetration,disable_support_penetration,paper_loss_no_support_penetration,0,False,False,,
chair,temporal_velocity,disable_temporal_velocity,paper_loss_no_temporal_velocity,0,False,False,,
back_view_basketball,contact_distance,disable_contact_distance,paper_loss_no_contact_distance,1,True,True,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/generic_stage4_candidate/factor_ledger.json
pingpong_wall,temporal_acceleration,disable_temporal_acceleration,paper_loss_no_temporal_acceleration,1,True,True,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/factor_ledger.json
