case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,allow_anchor_update,allow_contact_residual,allow_pose_refine,report_only,is_effective
volleyball,stage1,1,keypart_identity_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage1,121,keypart_identity_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage1,240,keypart_identity_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage1,1,track_stability_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage1,121,track_stability_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage1,240,track_stability_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,1,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,62,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,222,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,119,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,240,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,1,keypart_visibility_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,62,keypart_visibility_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,222,keypart_visibility_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,119,keypart_visibility_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage2,240,keypart_visibility_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage3,1,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage3,121,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage3,240,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,1,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,62,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,222,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,119,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,240,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,1,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,62,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,222,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,119,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,240,contact_relation_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,1,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,62,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,222,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,119,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,240,overlay_alignment_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,1,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,62,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,222,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,119,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
volleyball,stage4,240,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
